位移(mm),抗力(kN),分段刚度(kN/m),上宽(kN),下宽(kN)
0.0,0.0,0.0,22.66,13.63
1.1,5.42,4948.4,29.76,18.18
2.19,22.8,15859.1,22.64,14.64
3.29,36.3,12312.1,18.63,12.72
4.38,45.29,8204.5,19.42,13.73
5.48,54.28,8202.6,20.78,15.19
6.58,62.92,7880.6,21.72,16.44
7.67,71.98,8264.2,20.9,16.44
8.77,82.54,9641.9,19.49,16.01
9.86,94.58,10980.6,16.39,14.19
10.96,108.61,12800.4,0.0,0.0
