环境温度(℃),27.0
落锤高度(cm),0.5
锤头质量(kg),5140.0
Am(g),5.1
Vo(m/s),0.853
Dm(mm),22.02
Fm(kN),153.83
Wm(J),1490.0
Wa(J),647.0
Kp(kN/m),6792.2
Ke(kN/m),6147.6
C(N·s/m),24368.12
SF,0.434
η,0.092
