位移(mm),抗力(kN),分段刚度(kN/m),上宽(kN),下宽(kN)
0.0,0.0,0.0,6.77,4.27
1.1,21.13,19276.8,14.05,8.87
2.19,29.06,7235.7,16.39,10.79
3.29,36.92,7176.8,18.0,12.3
4.38,45.29,7634.9,19.42,13.73
5.48,54.28,8202.6,20.78,15.19
6.58,62.92,7880.6,21.72,16.44
7.67,71.98,8264.2,20.9,16.44
8.77,82.54,9641.9,19.49,16.01
9.86,94.58,10980.6,16.39,14.19
10.96,108.61,12800.4,0.0,0.0
